customer_key,first_name,last_name,email,active,create_date,last_update,address,district,postal_code,phone,city,country
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1913 Hanoi Way",Nagasaki,35200,28303384290,Sasebo,Japan
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1121 Loja Avenue",California,17886,838635286649,"San Bernardino","United States"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","692 Joliet Street",Attika,83579,448477190408,Athenai,Greece
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1566 Inegl Manor",Mandalay,53561,705814003527,Myingyan,Myanmar
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","53 Idfu Parkway",Nantou,42399,10655648674,Nantou,Taiwan
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1795 Santiago de Compostela Way",Texas,18743,860452626434,Laredo,"United States"
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","900 Santiago de Compostela Parkway","Central Serbia",93896,716571220373,Kragujevac,Yugoslavia
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","478 Joliet Way",Hamilton,77948,657282285970,Hamilton,"New Zealand"
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","613 Korolev Drive",Masqat,45844,380657522649,Masqat,Oman
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1531 Sal Drive",Esfahan,53628,648856936185,Esfahan,Iran
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1542 Tarlac Parkway",Kanagawa,1027,635297277345,Sagamihara,Japan
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","808 Bhopal Manor",Haryana,10672,465887807014,"Yamuna Nagar",India
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","270 Amroha Parkway",Osmaniye,29610,695479687538,Osmaniye,Turkey
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","770 Bydgoszcz Avenue",California,16266,517338314235,"Citrus Heights","United States"
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","419 Iligan Lane","Madhya Pradesh",72878,990911107354,Bhopal,India
